コード,企業名,市場区分,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA
3306,日本製麻,スタンダード（内国株式）,2025/03,44,3,3,1,26.32,4.08,1.78
4397,チームスピリット,グロース（内国株式）,2024/08,44,-1,-1,-2,-10.96,,
5885,ジーデップ・アドバンス,スタンダード（内国株式）,2024/05,44,7,7,4,82.09,18.08,9.97
3907,シリコンスタジオ,グロース（内国株式）,2024/11,44,1,1,1,30.96,5.0,2.95
5026,トリプルアイズ,グロース（内国株式）,2024/08,44,0,0,1,10.35,8.97,1.55
4488,ＡＩ　ｉｎｓｉｄｅ,グロース（内国株式）,2025/03,44,4,4,-5,-125.75,,
4243,ニックス,スタンダード（内国株式）,2024/09,44,2,2,2,78.44,4.26,3.08
7779,ＣＹＢＥＲＤＹＮＥ,グロース（内国株式）,2025/03,44,-9,,-6,-2.73,,
4013,勤次郎,グロース（内国株式）,2024/12,44,7,7,5,23.6,4.93,3.6
3770,ザッパラス,スタンダード（内国株式）,2024/04,44,3,4,2,13.41,2.86,2.62
7068,フィードフォースグループ,グロース（内国株式）,2025/05,44,16,15,10,39.67,31.18,13.09
3927,フーバーブレイン,グロース（内国株式）,2025/03,44,2,2,1,20.75,7.17,1.95
4197,アスマーク,スタンダード（内国株式）,2024/11,44,4,3,3,232.45,17.94,10.98
1401,エムビーエス,グロース（内国株式）,2024/05,44,5,5,4,54.05,11.63,9.16
4736,日本ラッド,スタンダード（内国株式）,2025/03,44,3,4,4,79.05,12.31,8.44
4880,セルソース,プライム（内国株式）,2024/10,44,1,2,2,12.02,3.97,3.36
7836,アビックス,スタンダード（内国株式）,2025/03,43,3,2,2,5.15,10.44,5.69
9353,櫻島埠頭,スタンダード（内国株式）,2025/03,43,2,3,2,153.77,3.34,2.1
4255,ＴＨＥＣＯＯ,グロース（内国株式）,2024/12,43,-1,-1,-1,-33.17,,
