コード,企業名,市場区分,業種,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA,IT投資比率,IT投資規模（億円）
8267.0,イオン,プライム（内国株式）,小売,2025/02,101349.0,2377.0,2242.0,288.0,33.58,2.74,0.21,0.0084,851
8750.0,第一生命ホールディングス,プライム（内国株式）,生保,2025/03,98733.0,,7191.0,4296.0,115.95,12.38,0.62,0.0795,7849
6501.0,日立製作所,プライム（内国株式）,機械,2025/03,97834.0,9716.0,,6157.0,133.85,10.53,4.63,0.0114,1115
5019.0,出光興産,プライム（内国株式）,エネルギー,2025/03,91902.0,1622.0,2148.0,1041.0,77.83,6.05,2.18,0.0,0
8411.0,みずほフィナンシャルグループ,プライム（内国株式）,銀行,2025/03,90304.0,,11681.0,8854.0,350.21,8.48,0.31,0.0795,7179
5401.0,日本製鉄,プライム（内国株式）,素材,2025/03,86955.0,5480.0,,3502.0,350.92,6.51,3.2,0.0095,826
6752.0,パナソニック　ホールディングス,プライム（内国株式）,機械,2025/03,84582.0,4265.0,,3662.0,156.87,7.8,3.92,0.0114,964
8002.0,丸紅,プライム（内国株式）,商社,2025/03,77902.0,2723.0,,5030.0,302.78,13.86,5.47,0.0084,654
8053.0,住友商事,プライム（内国株式）,商社,2025/03,72921.0,4050.0,,5619.0,463.96,12.09,4.83,0.0084,613
9984.0,ソフトバンクグループ,プライム（内国株式）,,2025/03,72438.0,7298.0,,11533.0,793.77,9.98,2.56,0.0,0
6902.0,デンソー,プライム（内国株式）,自動車・関連部品,2025/03,71618.0,5190.0,,4191.0,145.02,8.42,5.16,0.0114,816
9501.0,東京電力ホールディングス,プライム（内国株式）,エネルギー,2025/03,68104.0,2345.0,2544.0,1613.0,100.67,4.29,1.08,0.0,0
9434.0,ソフトバンク,プライム（内国株式）,通信,2025/03,65443.0,9890.0,,5261.0,11.12,19.18,3.27,0.0185,1211
7181.0,かんぽ生命保険,プライム（内国株式）,生保,2025/03,61653.0,,1703.0,1235.0,322.57,3.81,0.21,0.0795,4901
9433.0,ＫＤＤＩ,プライム（内国株式）,通信,2025/03,59180.0,11187.0,,6857.0,169.33,13.37,4.06,0.0185,1095
7269.0,スズキ,プライム（内国株式）,自動車・関連部品,2025/03,58252.0,6429.0,,4160.0,215.66,14.01,6.94,0.0114,664
6503.0,三菱電機,プライム（内国株式）,機械,2025/03,55217.0,3918.0,,3241.0,155.7,8.21,5.08,0.0114,629
1925.0,大和ハウス工業,プライム（内国株式）,建設,2025/03,54348.0,5463.0,5160.0,3251.0,514.0,12.43,4.61,0.0064,348
8766.0,東京海上ホールディングス,プライム（内国株式）,損保,2025/03,53052.0,,14600.0,10553.0,542.16,20.79,3.38,0.0795,4218
8630.0,ＳＯＭＰＯホールディングス,プライム（内国株式）,損保,2025/03,52862.0,,5529.0,2431.0,250.91,4.43,1.53,0.0795,4203
8725.0,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,損保,2025/03,52830.0,,9290.0,6917.0,445.53,17.29,2.64,0.0795,4200
7011.0,三菱重工業,プライム（内国株式）,機械,2025/03,50272.0,3143.0,,2454.0,73.04,10.46,3.69,0.0114,573
7261.0,マツダ,プライム（内国株式）,自動車・関連部品,2025/03,50189.0,1861.0,1890.0,1141.0,181.0,6.37,2.79,0.0114,572
7259.0,アイシン,プライム（内国株式）,自動車・関連部品,2025/03,48961.0,2029.0,,1076.0,137.81,5.44,2.51,0.0114,558
5411.0,ＪＦＥホールディングス,プライム（内国株式）,素材,2025/03,48596.0,1651.0,,919.0,144.43,3.63,1.63,0.0095,462
6367.0,ダイキン工業,プライム（内国株式）,機械,2025/03,47523.0,4017.0,3664.0,2648.0,904.27,9.45,5.16,0.0114,542
8604.0,野村ホールディングス,プライム（内国株式）,證券,2025/03,47367.0,,,3407.0,115.3,9.82,0.6,0.0795,3766
7270.0,ＳＵＢＡＲＵ,プライム（内国株式）,自動車・関連部品,2025/03,46858.0,4053.0,,3381.0,458.03,12.45,6.64,0.0114,534
5802.0,住友電気工業,プライム（内国株式）,素材,2025/03,46798.0,3207.0,3095.0,1938.0,248.47,8.46,4.36,0.0095,445
9613.0,ＮＴＴデータグループ,プライム（内国株式）,通信,2025/03,46387.0,3239.0,,1425.0,101.6,7.78,1.83,0.0185,858
4502.0,武田薬品工業,プライム（内国株式）,医薬品,2025/03,45816.0,3426.0,,1079.0,68.36,1.56,0.76,0.0095,435
7751.0,キヤノン,プライム（内国株式）,機械,2024/12,45098.0,2798.0,,1600.0,165.53,4.73,2.78,0.0114,514
5108.0,ブリヂストン,プライム（内国株式）,化学,2024/12,44301.0,4433.0,,2850.0,416.19,7.64,4.98,0.0095,421
4188.0,三菱ケミカルグループ,プライム（内国株式）,化学,2025/03,44074.0,1967.0,,450.0,31.64,2.59,0.76,0.0095,419
9503.0,関西電力,プライム（内国株式）,エネルギー,2025/03,43371.0,4689.0,5317.0,4204.0,436.09,13.71,4.35,0.0,0
6301.0,小松製作所,プライム（内国株式）,機械,2025/03,41044.0,6571.0,,4396.0,473.82,13.85,7.61,0.0114,468
6201.0,豊田自動織機,プライム（内国株式）,自動車・関連部品,2025/03,40850.0,2217.0,,2623.0,856.96,5.35,2.79,0.0114,466
1928.0,積水ハウス,プライム（内国株式）,建設,2025/01,40586.0,3314.0,3016.0,2177.0,335.95,11.09,4.53,0.0064,260
7459.0,メディパルホールディングス,プライム（内国株式）,商社,2025/03,36713.0,556.0,653.0,403.0,193.19,6.5,2.21,0.0084,308
9502.0,中部電力,プライム（内国株式）,エネルギー,2025/03,36692.0,2420.0,2764.0,2021.0,267.4,7.25,2.84,0.0,0
6098.0,リクルートホールディングス,プライム（内国株式）,サービス,2025/03,35575.0,4905.0,,4085.0,271.44,25.25,14.74,0.0185,658
6702.0,富士通,プライム（内国株式）,機械,2025/03,35501.0,2651.0,,2198.0,120.93,12.63,6.28,0.0114,405
6701.0,日本電気,プライム（内国株式）,機械,2025/03,34234.0,2565.0,,1752.0,131.5,8.97,4.06,0.0114,390
7202.0,いすゞ自動車,プライム（内国株式）,自動車・関連部品,2025/03,32356.0,2295.0,2482.0,1401.0,190.78,8.39,4.24,0.0114,369
4901.0,富士フイルムホールディングス,プライム（内国株式）,化学,2025/03,31958.0,3302.0,,2610.0,216.86,7.79,4.97,0.0095,304
2914.0,日本たばこ産業,プライム（内国株式）,食料品,2024/12,31498.0,3235.0,,1792.0,100.95,4.76,2.14,0.0095,299
9983.0,ファーストリテイリング,プライム（内国株式）,小売,2024/08,31038.0,5009.0,,3720.0,1212.88,18.45,10.37,0.0084,261
3407.0,旭化成,プライム（内国株式）,化学,2025/03,30373.0,2119.0,1935.0,1350.0,97.94,7.26,3.36,0.0095,289
6326.0,クボタ,プライム（内国株式）,機械,2024/12,30163.0,3156.0,,2304.0,197.61,9.3,3.83,0.0114,344
2784.0,アルフレッサ　ホールディングス,プライム（内国株式）,商社,2025/03,29611.0,381.0,405.0,274.0,147.54,5.68,1.9,0.0084,249
2502.0,アサヒグループホールディングス,プライム（内国株式）,食料品,2024/12,29394.0,2691.0,,1921.0,126.66,7.2,3.55,0.0095,279
8309.0,三井住友トラストグループ,プライム（内国株式）,銀行,2025/03,29224.0,,3677.0,2576.0,359.57,8.32,0.33,0.0795,2323
1812.0,鹿島建設,プライム（内国株式）,建設,2025/03,29118.0,1519.0,1607.0,1258.0,266.49,10.0,3.64,0.0064,186
9020.0,東日本旅客鉄道,プライム（内国株式）,運輸・倉庫,2025/03,28876.0,3768.0,3216.0,2243.0,198.29,7.84,2.2,0.0129,373
8591.0,オリックス,プライム（内国株式）,その他金融,2025/03,28748.0,3318.0,,3516.0,307.77,8.6,2.08,0.0,0
5021.0,コスモエネルギーホールディングス,プライム（内国株式）,エネルギー,2025/03,27999.0,1282.0,1508.0,577.0,672.78,9.86,2.67,0.0,0
7211.0,三菱自動車工業,プライム（内国株式）,自動車・関連部品,2025/03,27882.0,1388.0,986.0,410.0,28.7,4.39,1.82,0.0114,318
9506.0,東北電力,プライム（内国株式）,エネルギー,2025/03,26449.0,2803.0,2567.0,1828.0,365.5,18.56,3.39,0.0,0
9531.0,東京瓦斯,プライム（内国株式）,エネルギー,2025/03,26368.0,1331.0,1136.0,742.0,192.22,4.3,1.92,0.0,0
8801.0,三井不動産,プライム（内国株式）,サービス,2025/03,26254.0,3727.0,2903.0,2488.0,89.26,7.91,2.52,0.0185,486
1802.0,大林組,プライム（内国株式）,建設,2025/03,26201.0,1434.0,1534.0,1461.0,203.88,12.61,4.8,0.0064,168
6594.0,ニデック,プライム（内国株式）,機械,2025/03,26071.0,2402.0,,1677.0,145.95,9.75,5.04,0.0114,297
9101.0,日本郵船,プライム（内国株式）,運輸・倉庫,2025/03,25887.0,2108.0,4909.0,4777.0,1070.32,16.37,11.06,0.0129,334
9147.0,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,,2024/12,25776.0,491.0,,317.0,121.47,3.72,1.38,0.0,0
7272.0,ヤマハ発動機,プライム（内国株式）,自動車・関連部品,2024/12,25762.0,1815.0,1888.0,1081.0,110.12,9.3,3.88,0.0114,294
3402.0,東レ,プライム（内国株式）,一次・二次産業,2025/03,25633.0,1275.0,,779.0,48.93,4.56,2.37,0.0095,244
4063.0,信越化学工業,プライム（内国株式）,化学,2025/03,25612.0,7421.0,8205.0,5340.0,269.52,11.47,9.47,0.0095,243
5406.0,神戸製鋼所,プライム（内国株式）,素材,2025/03,25550.0,1587.0,1572.0,1202.0,304.65,10.34,4.16,0.0095,243
8078.0,阪和興業,プライム（内国株式）,商社,2025/03,25545.0,615.0,597.0,455.0,1125.66,11.87,3.9,0.0084,215
7752.0,リコー,プライム（内国株式）,機械,2025/03,25279.0,638.0,,457.0,78.11,4.44,1.94,0.0114,288
7182.0,ゆうちょ銀行,プライム（内国株式）,銀行,2025/03,25221.0,,5845.0,4143.0,114.6,4.58,0.18,0.0795,2005
2768.0,双日,プライム（内国株式）,商社,2025/03,25097.0,769.0,,1106.0,513.74,11.42,3.58,0.0084,211
4005.0,住友化学,プライム（内国株式）,化学,2024/03,24469.0,-4888.0,,-3118.0,-190.69,,,0.0095,232
8035.0,東京エレクトロン,プライム（内国株式）,機械,2025/03,24316.0,6973.0,7077.0,5441.0,1182.4,29.57,20.72,0.0114,277
9987.0,スズケン,プライム（内国株式）,商社,2025/03,24000.0,371.0,388.0,345.0,454.57,8.47,3.1,0.0084,202
9508.0,九州電力,プライム（内国株式）,エネルギー,2025/03,23568.0,1996.0,1947.0,1288.0,272.41,12.88,2.23,0.0,0
2503.0,キリンホールディングス,プライム（内国株式）,食料品,2024/12,23384.0,1253.0,,582.0,71.87,4.93,1.74,0.0095,222
4578.0,大塚ホールディングス,プライム（内国株式）,医薬品,2024/12,23299.0,3236.0,,3431.0,633.77,12.55,9.18,0.0095,221
4755.0,楽天グループ,プライム（内国株式）,サービス,2024/12,22792.0,530.0,,-1624.0,-75.61,,,0.0185,422
1605.0,ＩＮＰＥＸ,プライム（内国株式）,一次・二次産業,2024/12,22658.0,12718.0,,4273.0,345.31,8.86,5.79,0.0095,215
9202.0,ＡＮＡホールディングス,プライム（内国株式）,運輸・倉庫,2025/03,22619.0,1966.0,2001.0,1530.0,325.58,13.54,4.23,0.0129,292
6762.0,ＴＤＫ,プライム（内国株式）,機械,2025/03,22048.0,2242.0,,1672.0,88.1,9.29,4.72,0.0114,251
6753.0,シャープ,プライム（内国株式）,機械,2025/03,21601.0,273.0,177.0,361.0,55.59,23.54,2.48,0.0114,246
1801.0,大成建設,プライム（内国株式）,建設,2025/03,21542.0,1202.0,1345.0,1238.0,682.78,14.3,5.1,0.0064,138
7012.0,川崎重工業,プライム（内国株式）,自動車・関連部品,2025/03,21293.0,1246.0,,880.0,525.44,12.52,2.92,0.0114,243
7451.0,三菱食品,スタンダード（内国株式）,商社,2025/03,21208.0,316.0,333.0,232.0,533.94,10.63,2.99,0.0084,178
7532.0,パン・パシフィック・インターナショナルホールディングス,プライム（内国株式）,小売,2024/06,20951.0,1402.0,1487.0,887.0,148.64,16.53,5.92,0.0084,176
8593.0,三菱ＨＣキャピタル,プライム（内国株式）,その他金融,2025/03,20908.0,1871.0,1936.0,1352.0,94.19,7.55,1.15,0.0,0
9532.0,大阪瓦斯,プライム（内国株式）,エネルギー,2025/03,20690.0,1607.0,1896.0,1344.0,333.31,7.96,4.2,0.0,0
5201.0,ＡＧＣ,プライム（内国株式）,素材,2024/12,20676.0,1258.0,,-940.0,-443.71,,,0.0095,196
1911.0,住友林業,プライム（内国株式）,建設,2024/12,20536.0,1946.0,1980.0,1165.0,569.41,12.66,5.15,0.0064,131
6971.0,京セラ,プライム（内国株式）,機械,2025/03,20145.0,273.0,,241.0,17.11,0.75,0.53,0.0114,230
5711.0,三菱マテリアル,プライム（内国株式）,素材,2025/03,19621.0,371.0,602.0,341.0,260.81,5.03,1.43,0.0095,186
3116.0,トヨタ紡織,プライム（内国株式）,自動車・関連部品,2025/03,19542.0,424.0,,167.0,93.65,3.74,1.53,0.0114,223
1803.0,清水建設,プライム（内国株式）,建設,2025/03,19444.0,710.0,717.0,660.0,94.8,7.68,2.62,0.0064,124
4689.0,ＬＩＮＥヤフー,プライム（内国株式）,通信,2025/03,19175.0,3150.0,,1535.0,21.0,5.12,1.68,0.0185,355
4503.0,アステラス製薬,プライム（内国株式）,医薬品,2025/03,19123.0,410.0,,507.0,28.35,3.35,1.52,0.0095,182
4568.0,第一三共,プライム（内国株式）,医薬品,2025/03,18863.0,3319.0,,2958.0,155.96,18.22,8.56,0.0095,179
6473.0,ジェイテクト,プライム（内国株式）,機械,2025/03,18844.0,385.0,,137.0,40.36,1.84,0.88,0.0114,215
3861.0,王子ホールディングス,プライム（内国株式）,化学,2025/03,18493.0,677.0,686.0,462.0,47.34,4.19,1.75,0.0095,176
9201.0,日本航空,プライム（内国株式）,運輸・倉庫,2025/03,18441.0,1686.0,,1070.0,245.09,10.98,3.83,0.0129,238
9022.0,東海旅客鉄道,プライム（内国株式）,運輸・倉庫,2025/03,18318.0,7028.0,6493.0,4584.0,465.88,9.96,4.44,0.0129,236
9104.0,商船三井,プライム（内国株式）,運輸・倉庫,2025/03,17755.0,1509.0,4197.0,4255.0,1186.6,15.84,8.54,0.0129,229
9064.0,ヤマトホールディングス,プライム（内国株式）,運輸・倉庫,2025/03,17627.0,142.0,196.0,379.0,111.87,6.44,2.99,0.0129,227
4183.0,三井化学,プライム（内国株式）,化学,2024/03,17497.0,741.0,,500.0,262.99,5.79,2.26,0.0095,166
6981.0,村田製作所,プライム（内国株式）,機械,2025/03,17434.0,2797.0,,2338.0,125.11,9.06,7.72,0.0114,199
9041.0,近鉄グループホールディングス,プライム（内国株式）,運輸・倉庫,2025/03,17418.0,844.0,815.0,467.0,245.65,8.59,1.86,0.0129,225
1878.0,大東建託,プライム（内国株式）,建設,2024/03,17315.0,1048.0,1087.0,747.0,1110.58,18.55,6.91,0.0064,111
7911.0,ＴＯＰＰＡＮホールディングス,プライム（内国株式）,機械,2025/03,17180.0,841.0,886.0,893.0,295.98,6.91,3.55,0.0114,196
9021.0,西日本旅客鉄道,プライム（内国株式）,運輸・倉庫,2025/03,17079.0,1802.0,1657.0,1140.0,240.08,9.85,3.04,0.0129,220
,キオクシアホールディングス,プライム（内国株式）,,2025/03,17065.0,4517.0,,2723.0,519.96,36.92,9.33,0.0,0
7205.0,日野自動車,プライム（内国株式）,自動車・関連部品,2025/03,16972.0,575.0,393.0,-2178.0,-379.34,,,0.0114,193
2587.0,サントリー食品インターナショナル,プライム（内国株式）,食料品,2024/12,16968.0,1602.0,,935.0,302.57,7.73,4.54,0.0095,161
4612.0,日本ペイントホールディングス,プライム（内国株式）,化学,2024/12,16387.0,1876.0,,1273.0,54.22,8.0,4.15,0.0095,156
9831.0,ヤマダホールディングス,プライム（内国株式）,小売,2025/03,16291.0,428.0,480.0,269.0,38.9,4.22,2.03,0.0084,137
4452.0,花王,プライム（内国株式）,化学,2024/12,16284.0,1466.0,,1078.0,231.94,10.1,5.77,0.0095,155
7013.0,ＩＨＩ,プライム（内国株式）,機械,2025/03,16268.0,1435.0,,1127.0,744.84,23.4,5.03,0.0114,185
5713.0,住友金属鉱山,プライム（内国株式）,素材,2025/03,15933.0,-159.0,,165.0,59.99,0.89,0.54,0.0095,151
8802.0,三菱地所,プライム（内国株式）,サービス,2025/03,15798.0,3092.0,2630.0,1894.0,151.04,7.39,2.37,0.0185,292
2802.0,味の素,プライム（内国株式）,食料品,2025/03,15306.0,1140.0,,703.0,69.77,9.41,4.08,0.0095,145
9504.0,中国電力,プライム（内国株式）,エネルギー,2025/03,15292.0,1291.0,1285.0,985.0,273.7,13.92,2.26,0.0,0
6479.0,ミネベアミツミ,プライム（内国株式）,機械,2025/03,15227.0,945.0,,595.0,147.58,8.0,3.75,0.0114,174
5938.0,ＬＩＸＩＬ,プライム（内国株式）,素材,2024/03,14832.0,164.0,,-139.0,-48.44,,,0.0095,141
9143.0,ＳＧホールディングス,プライム（内国株式）,運輸・倉庫,2025/03,14792.0,878.0,889.0,581.0,92.92,10.02,5.59,0.0129,191
8129.0,東邦ホールディングス,プライム（内国株式）,商社,2024/03,14767.0,193.0,218.0,207.0,320.13,8.29,2.67,0.0084,124
7912.0,大日本印刷,プライム（内国株式）,機械,2025/03,14576.0,936.0,1159.0,1107.0,238.9,9.74,5.77,0.0114,166
2181.0,パーソルホールディングス,プライム（内国株式）,サービス,2025/03,14512.0,574.0,,359.0,16.17,18.92,6.65,0.0185,268
8473.0,ＳＢＩホールディングス,プライム（内国株式）,證券,2025/03,14437.0,7215.0,,1621.0,536.09,12.85,0.5,0.0795,1148
3291.0,飯田グループホールディングス,プライム（内国株式）,サービス,2024/03,14392.0,592.0,,372.0,132.57,3.83,2.05,0.0185,266
4324.0,電通グループ,プライム（内国株式）,サービス,2024/12,14110.0,-1250.0,,-1922.0,-734.56,,,0.0185,261
4004.0,レゾナック・ホールディングス,プライム（内国株式）,化学,2024/12,13915.0,890.0,697.0,735.0,406.61,8.48,3.38,0.0095,132
8601.0,大和証券グループ本社,プライム（内国株式）,證券,2025/03,13720.0,1667.0,2247.0,1544.0,109.53,9.41,0.43,0.0795,1091
6305.0,日立建機,プライム（内国株式）,機械,2025/03,13713.0,1547.0,,814.0,382.83,10.06,4.55,0.0114,156
2282.0,日本ハム,プライム（内国株式）,食料品,2025/03,13706.0,359.0,,266.0,263.06,5.07,2.8,0.0095,130
8439.0,東京センチュリー,プライム（内国株式）,その他金融,2025/03,13686.0,1171.0,1323.0,853.0,174.51,8.28,1.24,0.0,0
6724.0,セイコーエプソン,プライム（内国株式）,機械,2025/03,13629.0,751.0,,552.0,168.75,6.86,3.79,0.0114,155
6723.0,ルネサスエレクトロニクス,プライム（内国株式）,機械,2024/12,13485.0,2230.0,,2191.0,122.51,8.63,4.88,0.0114,154
9513.0,電源開発,プライム（内国株式）,エネルギー,2025/03,13167.0,1383.0,1401.0,925.0,505.64,6.92,2.52,0.0,0
4091.0,日本酸素ホールディングス,プライム（内国株式）,化学,2025/03,13080.0,1659.0,,988.0,228.2,10.07,4.08,0.0095,124
4204.0,積水化学工業,プライム（内国株式）,化学,2025/03,12978.0,1080.0,1110.0,819.0,195.93,10.15,6.16,0.0095,123
3288.0,オープンハウスグループ,プライム（内国株式）,サービス,2024/09,12959.0,1191.0,1203.0,929.0,782.6,20.03,7.25,0.0185,240
3141.0,ウエルシアホールディングス,プライム（内国株式）,小売,2025/02,12850.0,364.0,408.0,150.0,72.23,6.02,2.58,0.0084,108
2212.0,山崎製パン,プライム（内国株式）,食料品,2024/12,12445.0,519.0,563.0,360.0,178.58,8.74,4.16,0.0095,118
7832.0,バンダイナムコホールディングス,プライム（内国株式）,機械,2025/03,12415.0,1802.0,1865.0,1293.0,197.87,16.31,11.73,0.0114,142
5110.0,住友ゴム工業,プライム（内国株式）,化学,2024/12,12119.0,112.0,,99.0,37.51,1.5,0.74,0.0095,115
5801.0,古河電気工業,プライム（内国株式）,素材,2025/03,12018.0,471.0,486.0,334.0,473.48,9.77,3.38,0.0095,114
9735.0,セコム,プライム（内国株式）,サービス,2025/03,11999.0,1443.0,1751.0,1081.0,259.96,8.51,5.04,0.0185,222
8283.0,ＰＡＬＴＡＣ,プライム（内国株式）,商社,2025/03,11881.0,280.0,317.0,229.0,366.45,7.95,4.51,0.0084,100
3863.0,日本製紙,プライム（内国株式）,化学,2025/03,11824.0,197.0,155.0,45.0,39.33,0.94,0.27,0.0095,112
1808.0,長谷工コーポレーション,プライム（内国株式）,建設,2025/03,11774.0,847.0,834.0,344.0,126.2,6.48,2.52,0.0064,75
4519.0,中外製薬,プライム（内国株式）,医薬品,2024/12,11706.0,5420.0,,3873.0,235.39,20.37,17.54,0.0095,111
9869.0,加藤産業,プライム（内国株式）,商社,2024/09,11698.0,169.0,187.0,145.0,453.04,9.29,3.18,0.0084,98
7974.0,任天堂,プライム（内国株式）,機械,2025/03,11649.0,2826.0,3723.0,2788.0,239.47,10.23,8.2,0.0114,133
2269.0,明治ホールディングス,プライム（内国株式）,食料品,2025/03,11541.0,847.0,820.0,508.0,186.08,6.79,4.29,0.0095,110
3289.0,東急不動産ホールディングス,プライム（内国株式）,サービス,2025/03,11503.0,1408.0,1292.0,776.0,108.69,9.43,2.38,0.0185,213
3107.0,ダイワボウホールディングス,プライム（内国株式）,商社,2025/03,11368.0,349.0,355.0,248.0,271.37,16.27,5.62,0.0084,95
7550.0,ゼンショーホールディングス,プライム（内国株式）,小売,2025/03,11367.0,751.0,719.0,393.0,250.79,16.37,4.83,0.0084,95
4902.0,コニカミノルタ,プライム（内国株式）,機械,2025/03,11279.0,-640.0,,-475.0,-95.98,,,0.0114,129
6504.0,富士電機,プライム（内国株式）,機械,2025/03,11234.0,1176.0,1188.0,922.0,642.69,13.33,7.03,0.0114,128
8308.0,りそなホールディングス,プライム（内国株式）,銀行,2025/03,11175.0,,2922.0,2133.0,92.41,7.82,0.28,0.0795,888
4768.0,大塚商会,プライム（内国株式）,通信,2024/12,11077.0,744.0,759.0,535.0,141.04,14.42,7.94,0.0185,205
9042.0,阪急阪神ホールディングス,プライム（内国株式）,運輸・倉庫,2025/03,11069.0,1109.0,1112.0,674.0,281.77,6.51,2.05,0.0129,143
5101.0,横浜ゴム,プライム（内国株式）,化学,2024/12,10947.0,1192.0,,749.0,467.81,8.38,4.32,0.0095,104
1333.0,マルハニチロ,プライム（内国株式）,一次・二次産業,2025/03,10786.0,304.0,323.0,233.0,461.88,10.13,3.42,0.0095,102
4088.0,エア・ウォーター,プライム（内国株式）,化学,2025/03,10759.0,752.0,,491.0,214.57,9.49,3.93,0.0095,102
4631.0,ＤＩＣ,プライム（内国株式）,化学,2024/12,10711.0,445.0,379.0,213.0,225.11,5.31,1.74,0.0095,102
6302.0,住友重機械工業,プライム（内国株式）,機械,2024/12,10711.0,551.0,492.0,77.0,63.86,1.21,0.61,0.0114,122
4042.0,東ソー,プライム（内国株式）,化学,2025/03,10634.0,989.0,1030.0,580.0,182.13,7.01,4.37,0.0095,101
3088.0,マツキヨココカラ＆カンパニー,プライム（内国株式）,小売,2025/03,10616.0,821.0,863.0,547.0,133.85,10.5,7.67,0.0084,89
7282.0,豊田合成,プライム（内国株式）,自動車・関連部品,2025/03,10598.0,598.0,,363.0,285.99,6.7,3.98,0.0114,121
6861.0,キーエンス,プライム（内国株式）,機械,2025/03,10591.0,5498.0,5610.0,3987.0,1643.77,12.82,12.12,0.0114,121
9005.0,東急,プライム（内国株式）,運輸・倉庫,2025/03,10550.0,1035.0,1077.0,797.0,134.81,9.62,2.95,0.0129,136
8020.0,兼松,プライム（内国株式）,商社,2025/03,10509.0,421.0,,275.0,328.95,15.79,3.98,0.0084,88
9107.0,川崎汽船,プライム（内国株式）,運輸・倉庫,2025/03,10479.0,1029.0,3081.0,3054.0,460.11,18.53,13.82,0.0129,135
4543.0,テルモ,プライム（内国株式）,機械,2025/03,10362.0,1577.0,,1170.0,79.01,8.55,6.4,0.0114,118
3132.0,マクニカホールディングス,プライム（内国株式）,商社,2025/03,10342.0,396.0,373.0,253.0,140.93,10.01,4.54,0.0084,87
8830.0,住友不動産,プライム（内国株式）,サービス,2025/03,10142.0,2715.0,2683.0,1917.0,405.11,8.84,2.85,0.0185,188
6988.0,日東電工,プライム（内国株式）,化学,2025/03,10139.0,1857.0,,1372.0,195.74,13.14,10.38,0.0095,96
7130.0,ヤマエグループホールディングス,プライム（内国株式）,,2025/03,10069.0,158.0,176.0,85.0,308.16,9.58,2.14,0.0,0
3401.0,帝人,プライム（内国株式）,一次・二次産業,2025/03,10055.0,-718.0,,283.0,147.15,6.57,2.67,0.0095,96
5741.0,ＵＡＣＪ,プライム（内国株式）,素材,2025/03,9988.0,574.0,,280.0,585.96,9.63,2.88,0.0095,95
7733.0,オリンパス,プライム（内国株式）,機械,2025/03,9973.0,1625.0,,1179.0,102.99,15.68,8.23,0.0114,114
3941.0,レンゴー,プライム（内国株式）,化学,2025/03,9933.0,374.0,392.0,290.0,116.94,6.25,2.33,0.0095,94
4911.0,資生堂,プライム（内国株式）,化学,2024/12,9906.0,76.0,,-108.0,-27.06,,,0.0095,94
6770.0,アルプスアルパイン,プライム（内国株式）,機械,2025/03,9904.0,341.0,305.0,378.0,184.0,9.14,5.11,0.0114,113
8113.0,ユニ・チャーム,プライム（内国株式）,化学,2024/12,9890.0,1385.0,,818.0,46.41,10.59,6.6,0.0095,94
